PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,DRIBBLE_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT,SEASON,SEASON_TYPE
1630639,"Lawson, A.J.",1,19,12,0 Dribbles,0.75,22,42,0.524,0.702,0.161,7,9,0.778,0.589,15,33,0.455,2025-26,Regular Season
1630639,"Lawson, A.J.",2,19,5,1 Dribble,0.089,2,5,0.4,0.4,0.089,2,5,0.4,0.0,0,0,,2025-26,Regular Season
1630639,"Lawson, A.J.",3,19,5,2 Dribbles,0.089,0,5,0.0,0.0,0.089,0,5,0.0,0.0,0,0,,2025-26,Regular Season
1630639,"Lawson, A.J.",4,19,4,3-6 Dribbles,0.071,2,4,0.5,0.5,0.071,2,4,0.5,0.0,0,0,,2025-26,Regular Season
1631260,"Green, AJ",1,73,72,0 Dribbles,0.701,157,383,0.41,0.604,0.026,8,14,0.571,0.676,149,369,0.404,2025-26,Regular Season
1631260,"Green, AJ",2,73,45,1 Dribble,0.148,36,81,0.444,0.636,0.018,5,10,0.5,0.13,31,71,0.437,2025-26,Regular Season
1631260,"Green, AJ",3,73,30,2 Dribbles,0.062,13,34,0.382,0.471,0.02,7,11,0.636,0.042,6,23,0.261,2025-26,Regular Season
1631260,"Green, AJ",4,73,29,3-6 Dribbles,0.073,18,40,0.45,0.6,0.033,6,18,0.333,0.04,12,22,0.545,2025-26,Regular Season
1631260,"Green, AJ",5,73,7,7+ Dribbles,0.015,3,8,0.375,0.438,0.009,2,5,0.4,0.005,1,3,0.333,2025-26,Regular Season
1642358,"Johnson, AJ",1,44,11,0 Dribbles,0.31,5,18,0.278,0.333,0.069,3,4,0.75,0.241,2,14,0.143,2025-26,Regular Season
1642358,"Johnson, AJ",2,44,7,1 Dribble,0.172,5,10,0.5,0.6,0.086,3,5,0.6,0.086,2,5,0.4,2025-26,Regular Season
1642358,"Johnson, AJ",3,44,3,2 Dribbles,0.052,1,3,0.333,0.333,0.052,1,3,0.333,0.0,0,0,,2025-26,Regular Season
1642358,"Johnson, AJ",4,44,10,3-6 Dribbles,0.328,5,19,0.263,0.263,0.293,5,17,0.294,0.034,0,2,0.0,2025-26,Regular Season
1642358,"Johnson, AJ",5,44,5,7+ Dribbles,0.138,2,8,0.25,0.25,0.103,2,6,0.333,0.034,0,2,0.0,2025-26,Regular Season
203932,"Gordon, Aaron",1,33,32,0 Dribbles,0.566,116,207,0.56,0.662,0.295,74,108,0.685,0.27,42,99,0.424,2025-26,Regular Season
203932,"Gordon, Aaron",2,33,23,1 Dribble,0.107,19,39,0.487,0.577,0.066,12,24,0.5,0.041,7,15,0.467,2025-26,Regular Season
203932,"Gordon, Aaron",3,33,15,2 Dribbles,0.063,9,23,0.391,0.391,0.052,9,19,0.474,0.011,0,4,0.0,2025-26,Regular Season
203932,"Gordon, Aaron",4,33,25,3-6 Dribbles,0.15,24,55,0.436,0.473,0.109,20,40,0.5,0.041,4,15,0.267,2025-26,Regular Season
203932,"Gordon, Aaron",5,33,25,7+ Dribbles,0.115,13,42,0.31,0.345,0.09,10,33,0.303,0.025,3,9,0.333,2025-26,Regular Season
1628988,"Holiday, Aaron",1,52,42,0 Dribbles,0.581,54,133,0.406,0.602,0.017,2,4,0.5,0.563,52,129,0.403,2025-26,Regular Season
1628988,"Holiday, Aaron",2,52,7,1 Dribble,0.044,4,10,0.4,0.55,0.017,1,4,0.25,0.026,3,6,0.5,2025-26,Regular Season
1628988,"Holiday, Aaron",3,52,10,2 Dribbles,0.048,4,11,0.364,0.364,0.031,4,7,0.571,0.017,0,4,0.0,2025-26,Regular Season
1628988,"Holiday, Aaron",4,52,25,3-6 Dribbles,0.175,14,40,0.35,0.363,0.148,13,34,0.382,0.026,1,6,0.167,2025-26,Regular Season
1628988,"Holiday, Aaron",5,52,19,7+ Dribbles,0.153,16,35,0.457,0.486,0.122,14,28,0.5,0.031,2,7,0.286,2025-26,Regular Season
1630174,"Nesmith, Aaron",1,45,45,0 Dribbles,0.5,108,256,0.422,0.602,0.059,16,30,0.533,0.441,92,226,0.407,2025-26,Regular Season
1630174,"Nesmith, Aaron",2,45,29,1 Dribble,0.117,30,60,0.5,0.583,0.066,20,34,0.588,0.051,10,26,0.385,2025-26,Regular Season
1630174,"Nesmith, Aaron",3,45,41,2 Dribbles,0.184,35,94,0.372,0.378,0.166,34,85,0.4,0.018,1,9,0.111,2025-26,Regular Season
1630174,"Nesmith, Aaron",4,45,40,3-6 Dribbles,0.182,36,93,0.387,0.398,0.154,34,79,0.43,0.027,2,14,0.143,2025-26,Regular Season
1630174,"Nesmith, Aaron",5,45,7,7+ Dribbles,0.018,3,9,0.333,0.333,0.014,3,7,0.429,0.004,0,2,0.0,2025-26,Regular Season
1630598,"Wiggins, Aaron",1,60,58,0 Dribbles,0.497,105,252,0.417,0.562,0.108,32,55,0.582,0.389,73,197,0.371,2025-26,Regular Season
1630598,"Wiggins, Aaron",2,60,28,1 Dribble,0.075,19,38,0.5,0.566,0.036,14,18,0.778,0.039,5,20,0.25,2025-26,Regular Season
1630598,"Wiggins, Aaron",3,60,33,2 Dribbles,0.112,28,57,0.491,0.509,0.101,26,51,0.51,0.012,2,6,0.333,2025-26,Regular Season
1630598,"Wiggins, Aaron",4,60,48,3-6 Dribbles,0.223,53,113,0.469,0.504,0.178,45,90,0.5,0.045,8,23,0.348,2025-26,Regular Season
1630598,"Wiggins, Aaron",5,60,28,7+ Dribbles,0.093,15,47,0.319,0.351,0.075,12,38,0.316,0.018,3,9,0.333,2025-26,Regular Season
1642846,"Bailey, Ace",1,69,66,0 Dribbles,0.507,179,412,0.434,0.54,0.177,92,144,0.639,0.33,87,268,0.325,2025-26,Regular Season
1642846,"Bailey, Ace",2,69,64,1 Dribble,0.215,83,175,0.474,0.54,0.153,60,124,0.484,0.063,23,51,0.451,2025-26,Regular Season
1642846,"Bailey, Ace",3,69,50,2 Dribbles,0.109,40,89,0.449,0.483,0.086,34,70,0.486,0.023,6,19,0.316,2025-26,Regular Season
1642846,"Bailey, Ace",4,69,49,3-6 Dribbles,0.141,46,115,0.4,0.43,0.117,39,95,0.411,0.025,7,20,0.35,2025-26,Regular Season
1642846,"Bailey, Ace",5,69,17,7+ Dribbles,0.027,11,22,0.5,0.591,0.021,7,17,0.412,0.006,4,5,0.8,2025-26,Regular Season
1642380,"Bal, Adama",1,4,3,0 Dribbles,0.667,6,14,0.429,0.607,0.143,1,3,0.333,0.524,5,11,0.455,2025-26,Regular Season
1642380,"Bal, Adama",2,4,2,1 Dribble,0.143,1,3,0.333,0.333,0.048,1,1,1.0,0.095,0,2,0.0,2025-26,Regular Season
1642380,"Bal, Adama",3,4,1,2 Dribbles,0.143,0,3,0.0,0.0,0.143,0,3,0.0,0.0,0,0,,2025-26,Regular Season
1642380,"Bal, Adama",4,4,1,3-6 Dribbles,0.048,1,1,1.0,1.0,0.048,1,1,1.0,0.0,0,0,,2025-26,Regular Season
1641737,"Bona, Adem",1,67,60,0 Dribbles,0.733,93,151,0.616,0.623,0.704,91,145,0.628,0.029,2,6,0.333,2025-26,Regular Season
1641737,"Bona, Adem",2,67,26,1 Dribble,0.17,20,35,0.571,0.571,0.17,20,35,0.571,0.0,0,0,,2025-26,Regular Season
1641737,"Bona, Adem",3,67,10,2 Dribbles,0.049,5,10,0.5,0.5,0.049,5,10,0.5,0.0,0,0,,2025-26,Regular Season
1641737,"Bona, Adem",4,67,9,3-6 Dribbles,0.044,3,9,0.333,0.333,0.044,3,9,0.333,0.0,0,0,,2025-26,Regular Season
1641737,"Bona, Adem",5,67,1,7+ Dribbles,0.005,1,1,1.0,1.0,0.005,1,1,1.0,0.0,0,0,,2025-26,Regular Season
1642876,"Thiero, Adou",1,21,7,0 Dribbles,0.364,3,8,0.375,0.375,0.318,3,7,0.429,0.045,0,1,0.0,2025-26,Regular Season
1642876,"Thiero, Adou",2,21,5,1 Dribble,0.227,2,5,0.4,0.4,0.227,2,5,0.4,0.0,0,0,,2025-26,Regular Season
1642876,"Thiero, Adou",3,21,5,2 Dribbles,0.273,3,6,0.5,0.5,0.273,3,6,0.5,0.0,0,0,,2025-26,Regular Season
1642876,"Thiero, Adou",4,21,2,3-6 Dribbles,0.136,2,3,0.667,0.667,0.136,2,3,0.667,0.0,0,0,,2025-26,Regular Season
1642349,"Mitchell, Ajay",1,54,52,0 Dribbles,0.274,63,155,0.406,0.535,0.062,23,35,0.657,0.212,40,120,0.333,2025-26,Regular Season
1642349,"Mitchell, Ajay",2,54,25,1 Dribble,0.058,19,33,0.576,0.652,0.037,14,21,0.667,0.021,5,12,0.417,2025-26,Regular Season
1642349,"Mitchell, Ajay",3,54,38,2 Dribbles,0.118,42,67,0.627,0.649,0.111,39,63,0.619,0.007,3,4,0.75,2025-26,Regular Season
1642349,"Mitchell, Ajay",4,54,50,3-6 Dribbles,0.274,73,155,0.471,0.49,0.249,67,141,0.475,0.025,6,14,0.429,2025-26,Regular Season
1642349,"Mitchell, Ajay",5,54,50,7+ Dribbles,0.276,80,156,0.513,0.529,0.244,75,138,0.543,0.032,5,18,0.278,2025-26,Regular Season
201143,"Horford, Al",1,43,43,0 Dribbles,0.799,94,239,0.393,0.533,0.167,27,50,0.54,0.632,67,189,0.354,2025-26,Regular Season
201143,"Horford, Al",2,43,12,1 Dribble,0.06,12,18,0.667,0.694,0.05,11,15,0.733,0.01,1,3,0.333,2025-26,Regular Season
201143,"Horford, Al",3,43,16,2 Dribbles,0.057,10,17,0.588,0.588,0.057,10,17,0.588,0.0,0,0,,2025-26,Regular Season
201143,"Horford, Al",4,43,18,3-6 Dribbles,0.074,10,22,0.455,0.455,0.074,10,22,0.455,0.0,0,0,,2025-26,Regular Season
201143,"Horford, Al",5,43,3,7+ Dribbles,0.01,0,3,0.0,0.0,0.01,0,3,0.0,0.0,0,0,,2025-26,Regular Season
1630828,"Antetokounmpo, Alex",1,3,1,0 Dribbles,1.0,0,1,0.0,0.0,0.0,0,0,,1.0,0,1,0.0,2025-26,Regular Season
1627936,"Caruso, Alex",1,53,51,0 Dribbles,0.672,80,195,0.41,0.531,0.145,33,42,0.786,0.528,47,153,0.307,2025-26,Regular Season
1627936,"Caruso, Alex",2,53,23,1 Dribble,0.09,9,26,0.346,0.404,0.045,6,13,0.462,0.045,3,13,0.231,2025-26,Regular Season
1627936,"Caruso, Alex",3,53,16,2 Dribbles,0.062,10,18,0.556,0.556,0.059,10,17,0.588,0.003,0,1,0.0,2025-26,Regular Season
1627936,"Caruso, Alex",4,53,27,3-6 Dribbles,0.141,19,41,0.463,0.463,0.124,19,36,0.528,0.017,0,5,0.0,2025-26,Regular Season
1627936,"Caruso, Alex",5,53,8,7+ Dribbles,0.034,4,10,0.4,0.4,0.031,4,9,0.444,0.003,0,1,0.0,2025-26,Regular Season
1631457,"Morales, Alex",4,1,1,3-6 Dribbles,1.0,1,2,0.5,0.5,1.0,1,2,0.5,0.0,0,0,,2025-26,Regular Season
1642259,"Sarr, Alex",1,48,48,0 Dribbles,0.497,169,323,0.523,0.591,0.298,125,194,0.644,0.198,44,129,0.341,2025-26,Regular Season
1642259,"Sarr, Alex",2,48,42,1 Dribble,0.171,52,111,0.468,0.473,0.16,51,104,0.49,0.011,1,7,0.143,2025-26,Regular Season
1642259,"Sarr, Alex",3,48,41,2 Dribbles,0.162,53,105,0.505,0.514,0.158,51,103,0.495,0.003,2,2,1.0,2025-26,Regular Season
1642259,"Sarr, Alex",4,48,40,3-6 Dribbles,0.132,28,86,0.326,0.331,0.125,27,81,0.333,0.008,1,5,0.2,2025-26,Regular Season
1642259,"Sarr, Alex",5,48,20,7+ Dribbles,0.038,10,25,0.4,0.42,0.032,9,21,0.429,0.006,1,4,0.25,2025-26,Regular Season
1642918,"Martin, Alijah",1,20,7,0 Dribbles,0.5,8,21,0.381,0.476,0.143,4,6,0.667,0.357,4,15,0.267,2025-26,Regular Season
1642918,"Martin, Alijah",2,20,2,1 Dribble,0.048,1,2,0.5,0.5,0.048,1,2,0.5,0.0,0,0,,2025-26,Regular Season
1642918,"Martin, Alijah",3,20,6,2 Dribbles,0.143,2,6,0.333,0.333,0.095,2,4,0.5,0.048,0,2,0.0,2025-26,Regular Season
1642918,"Martin, Alijah",4,20,5,3-6 Dribbles,0.214,4,9,0.444,0.444,0.19,4,8,0.5,0.024,0,1,0.0,2025-26,Regular Season
1642918,"Martin, Alijah",5,20,3,7+ Dribbles,0.095,0,4,0.0,0.0,0.071,0,3,0.0,0.024,0,1,0.0,2025-26,Regular Season
1631214,"Williams, Alondes",1,4,4,0 Dribbles,0.692,11,18,0.611,0.75,0.231,6,6,1.0,0.462,5,12,0.417,2025-26,Regular Season
1631214,"Williams, Alondes",2,4,2,1 Dribble,0.115,1,3,0.333,0.333,0.077,1,2,0.5,0.038,0,1,0.0,2025-26,Regular Season
1631214,"Williams, Alondes",3,4,2,2 Dribbles,0.115,2,3,0.667,0.667,0.077,2,2,1.0,0.038,0,1,0.0,2025-26,Regular Season
1631214,"Williams, Alondes",4,4,2,3-6 Dribbles,0.077,2,2,1.0,1.0,0.077,2,2,1.0,0.0,0,0,,2025-26,Regular Season
1630578,"Sengun, Alperen",1,68,66,0 Dribbles,0.31,164,321,0.511,0.559,0.216,133,224,0.594,0.094,31,97,0.32,2025-26,Regular Season
1630578,"Sengun, Alperen",2,68,57,1 Dribble,0.138,79,143,0.552,0.556,0.131,78,136,0.574,0.007,1,7,0.143,2025-26,Regular Season
1630578,"Sengun, Alperen",3,68,56,2 Dribbles,0.134,63,139,0.453,0.46,0.129,61,134,0.455,0.005,2,5,0.4,2025-26,Regular Season
1630578,"Sengun, Alperen",4,68,63,3-6 Dribbles,0.297,172,307,0.56,0.568,0.289,167,299,0.559,0.008,5,8,0.625,2025-26,Regular Season
1630578,"Sengun, Alperen",5,68,56,7+ Dribbles,0.121,62,125,0.496,0.496,0.119,62,123,0.504,0.002,0,2,0.0,2025-26,Regular Season
1642873,"Williams, Amari",1,21,8,0 Dribbles,0.789,7,15,0.467,0.467,0.789,7,15,0.467,0.0,0,0,,2025-26,Regular Season
1642873,"Williams, Amari",2,21,4,1 Dribble,0.211,2,4,0.5,0.5,0.211,2,4,0.5,0.0,0,0,,2025-26,Regular Season
1641708,"Thompson, Amen",1,75,73,0 Dribbles,0.406,223,388,0.575,0.603,0.309,201,295,0.681,0.097,22,93,0.237,2025-26,Regular Season
1641708,"Thompson, Amen",2,75,58,1 Dribble,0.113,56,108,0.519,0.523,0.103,55,98,0.561,0.01,1,10,0.1,2025-26,Regular Season
1641708,"Thompson, Amen",3,75,42,2 Dribbles,0.067,34,64,0.531,0.531,0.065,34,62,0.548,0.002,0,2,0.0,2025-26,Regular Season
1641708,"Thompson, Amen",4,75,66,3-6 Dribbles,0.193,76,184,0.413,0.416,0.188,75,180,0.417,0.004,1,4,0.25,2025-26,Regular Season
1641708,"Thompson, Amen",5,75,68,7+ Dribbles,0.221,110,211,0.521,0.521,0.22,110,210,0.524,0.001,0,1,0.0,2025-26,Regular Season
1629599,"Coffey, Amir",1,43,9,0 Dribbles,0.486,8,18,0.444,0.611,0.081,2,3,0.667,0.405,6,15,0.4,2025-26,Regular Season
1629599,"Coffey, Amir",2,43,2,1 Dribble,0.081,2,3,0.667,0.667,0.081,2,3,0.667,0.0,0,0,,2025-26,Regular Season
1629599,"Coffey, Amir",3,43,6,2 Dribbles,0.243,4,9,0.444,0.444,0.216,4,8,0.5,0.027,0,1,0.0,2025-26,Regular Season
1629599,"Coffey, Amir",4,43,4,3-6 Dribbles,0.189,4,7,0.571,0.571,0.189,4,7,0.571,0.0,0,0,,2025-26,Regular Season
1643158,"Garcia, Andersson",1,5,5,0 Dribbles,0.69,5,20,0.25,0.275,0.276,4,8,0.5,0.414,1,12,0.083,2025-26,Regular Season
1643158,"Garcia, Andersson",2,5,2,1 Dribble,0.069,0,2,0.0,0.0,0.034,0,1,0.0,0.034,0,1,0.0,2025-26,Regular Season
1643158,"Garcia, Andersson",3,5,1,2 Dribbles,0.034,0,1,0.0,0.0,0.034,0,1,0.0,0.0,0,0,,2025-26,Regular Season
1643158,"Garcia, Andersson",4,5,3,3-6 Dribbles,0.207,4,6,0.667,0.667,0.207,4,6,0.667,0.0,0,0,,2025-26,Regular Season
