CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS,SEASON,SEASON_TYPE,DEFENSE_CATEGORY
1642270,Donovan Clingan,1610612757,POR,C,22.0,73,71,0.339,191,506,0.377,0.359,0.018,2025-26,Regular Season,3 Pointers
1627750,Jamal Murray,1610612743,DEN,G,29.0,72,72,0.429,147,434,0.339,0.361,-0.023,2025-26,Regular Season,3 Pointers
1628401,Derrick White,1610612738,BOS,G,31.0,73,71,0.406,143,429,0.333,0.362,-0.028,2025-26,Regular Season,3 Pointers
1629029,Luka Dončić,1610612747,LAL,F-G,27.0,64,64,0.392,130,413,0.315,0.365,-0.05,2025-26,Regular Season,3 Pointers
1641705,Victor Wembanyama,1610612759,SAS,F-C,22.0,61,61,0.378,126,412,0.306,0.353,-0.047,2025-26,Regular Season,3 Pointers
1628973,Jalen Brunson,1610612752,NYK,G,29.0,69,69,0.456,141,409,0.345,0.363,-0.018,2025-26,Regular Season,3 Pointers
1630578,Alperen Sengun,1610612745,HOU,C,23.0,67,67,0.327,158,397,0.398,0.356,0.042,2025-26,Regular Season,3 Pointers
1631157,Ryan Rollins,1610612749,MIL,G,23.0,72,72,0.419,138,397,0.348,0.362,-0.015,2025-26,Regular Season,3 Pointers
1627759,Jaylen Brown,1610612738,BOS,G-F,29.0,68,68,0.512,135,392,0.344,0.36,-0.016,2025-26,Regular Season,3 Pointers
1630700,Dyson Daniels,1610612737,ATL,G,23.0,73,73,0.381,138,390,0.354,0.362,-0.008,2025-26,Regular Season,3 Pointers
1642852,Derik Queen,1610612740,NOP,C,21.0,77,75,0.335,125,388,0.322,0.357,-0.034,2025-26,Regular Season,3 Pointers
1641717,Cason Wallace,1610612760,OKC,G,22.0,74,74,0.441,133,387,0.344,0.359,-0.015,2025-26,Regular Season,3 Pointers
203468,CJ McCollum,1610612737,ATL,G,34.0,73,73,0.426,131,379,0.346,0.366,-0.02,2025-26,Regular Season,3 Pointers
1630530,Trey Murphy III,1610612740,NOP,F,25.0,66,66,0.41,138,376,0.367,0.365,0.002,2025-26,Regular Season,3 Pointers
201142,Kevin Durant,1610612745,HOU,F,37.0,74,74,0.427,134,375,0.357,0.359,-0.002,2025-26,Regular Season,3 Pointers
203952,Andrew Wiggins,1610612748,MIA,F,31.0,63,63,0.425,129,374,0.345,0.363,-0.019,2025-26,Regular Season,3 Pointers
1641824,Matas Buzelis,1610612741,CHI,F,21.0,75,75,0.35,138,373,0.37,0.365,0.005,2025-26,Regular Season,3 Pointers
1642847,Jeremiah Fears,1610612740,NOP,G,19.0,78,75,0.421,140,373,0.375,0.364,0.012,2025-26,Regular Season,3 Pointers
1630183,Jaden McDaniels,1610612750,MIN,F,25.0,71,71,0.362,126,371,0.34,0.365,-0.025,2025-26,Regular Season,3 Pointers
1641739,Toumani Camara,1610612757,POR,F,25.0,78,78,0.348,127,370,0.343,0.366,-0.022,2025-26,Regular Season,3 Pointers
1631260,AJ Green,1610612749,MIL,G,26.0,73,72,0.426,144,369,0.39,0.362,0.028,2025-26,Regular Season,3 Pointers
1630178,Tyrese Maxey,1610612755,PHI,G,25.0,65,65,0.442,130,366,0.355,0.365,-0.01,2025-26,Regular Season,3 Pointers
1627739,Kris Dunn,1610612746,LAC,G,32.0,77,77,0.448,130,364,0.357,0.364,-0.007,2025-26,Regular Season,3 Pointers
1642843,Cooper Flagg,1610612742,DAL,F,19.0,65,65,0.372,126,363,0.347,0.36,-0.013,2025-26,Regular Season,3 Pointers
1630567,Scottie Barnes,1610612761,TOR,F-G,24.0,74,74,0.335,124,363,0.342,0.357,-0.016,2025-26,Regular Season,3 Pointers
1628389,Bam Adebayo,1610612748,MIA,C-F,28.0,68,68,0.356,127,362,0.351,0.358,-0.007,2025-26,Regular Season,3 Pointers
1630168,Onyeka Okongwu,1610612737,ATL,F-C,25.0,71,70,0.346,118,358,0.33,0.357,-0.028,2025-26,Regular Season,3 Pointers
1628404,Josh Hart,1610612752,NYK,G,31.0,63,62,0.4,123,355,0.346,0.353,-0.007,2025-26,Regular Season,3 Pointers
1630595,Cade Cunningham,1610612765,DET,G,24.0,61,60,0.415,112,353,0.317,0.368,-0.051,2025-26,Regular Season,3 Pointers
1630217,Desmond Bane,1610612753,ORL,G,27.0,77,77,0.427,100,350,0.286,0.365,-0.079,2025-26,Regular Season,3 Pointers
1628970,Miles Bridges,1610612766,CHA,F,28.0,73,73,0.411,122,349,0.35,0.359,-0.009,2025-26,Regular Season,3 Pointers
